#sampleA	sampleB	transcript	logConc	logFC	P.Value	adj.P.Val
ds_gene	log_gene	comp1061_c0	-8.1730286077413	-7.13208015857914	7.51319016506342e-10	9.30550260796042e-08
ds_gene	log_gene	comp1038_c0	-27.3365417273826	-45.3590250328625	1.04165884922831e-09	9.30550260796042e-08
ds_gene	log_gene	comp616_c0	-7.53878418977835	-6.40056899450505	1.33571807769767e-09	9.30550260796042e-08
ds_gene	log_gene	comp1062_c0	-8.31778191633879	-6.84257354138416	4.33351474893039e-09	2.26426145631613e-07
ds_gene	log_gene	comp708_c0	-6.87104687641569	-5.09218743145563	2.53392415549056e-08	8.92520507710156e-07
ds_gene	log_gene	comp715_c0	-8.46142289237903	-6.55529158930369	2.56225983074686e-08	8.92520507710156e-07
ds_gene	log_gene	comp980_c0	-27.8624611931424	-44.3071861013429	4.65726979961044e-07	1.39052769731226e-05
ds_gene	log_gene	comp1036_c0	-8.92564626186651	-5.62684485032872	4.27844093612288e-06	0.00011177426945621
ds_gene	log_gene	comp1001_c0	-28.0877918976472	-43.8565246923334	5.18874751827668e-06	0.000120494247924425
ds_gene	log_gene	comp889_c2	-28.2794562174229	-43.4731960527818	3.56804979318428e-05	0.000745722406775515
ds_gene	log_gene	comp1023_c0	-9.20658570567057	-5.06496596272061	5.79138412377211e-05	0.0011003629835167
ds_gene	log_gene	comp710_c0	-7.36433661853453	-3.57953913555036	7.67127580995918e-05	0.00133608053690122
ds_gene	log_gene	comp604_c0	-28.3802731480078	-43.2715621916122	9.63608450846118e-05	0.00154918589405261
ds_gene	log_gene	comp722_c1	-7.79801773424547	-3.8821019055708	0.000114340178288936	0.00170693551874197
ds_gene	log_gene	comp963_c0	-9.27878066033816	-4.92057605338543	0.000125561101170857	0.00174948467631394
ds_gene	log_gene	comp551_c0	-8.6730286077413	-4.13208015857914	0.000305695076875518	0.00399314194168646
ds_gene	log_gene	comp552_c0	-28.5877918976472	-42.8565246923334	0.000530404868558373	0.00605449178655992
ds_gene	log_gene	comp941_c0	-6.96448594377745	-2.90530929673212	0.000555731975696973	0.00605449178655992
ds_gene	log_gene	comp710_c1	-7.97375391949616	-3.53062953506942	0.000571838217579205	0.00605449178655992
ds_gene	log_gene	comp722_c0	-8.31778191633879	-3.67264853994185	0.00060834606467827	0.00605449178655992
ds_gene	log_gene	comp1073_c0	-8.31778191633879	-3.67264853994185	0.00060834606467827	0.00605449178655992
ds_gene	log_gene	comp723_c0	-8.77878066033816	-3.92057605338543	0.000797166991154514	0.00724382178918668
ds_gene	log_gene	comp1026_c0	-8.77878066033816	-3.92057605338543	0.000797166991154514	0.00724382178918668
ds_gene	log_gene	comp1081_c0	-6.50797759457477	-2.64840099369517	0.000872759773964887	0.0076002830316109
ds_gene	log_gene	comp954_c2	-28.8338300447972	42.3644483980333	0.00199604498825856	0.0166869361018416
ds_gene	log_gene	comp1022_c0	-8.99906695603115	4.13470638211576	0.00281198466110548	0.0213768979565517
ds_gene	log_gene	comp1032_c0	-28.8115213861328	-42.4090657153621	0.0028638906353275	0.0213768979565517
ds_gene	log_gene	comp889_c0	-28.8115213861328	-42.4090657153621	0.0028638906353275	0.0213768979565517
ds_gene	log_gene	comp954_c0	-9.02530066597821	4.08223896222162	0.00356754128733709	0.0248538709684484
ds_gene	log_gene	comp630_c0	-8.52530066597821	-3.257611040663	0.00356754128733709	0.0248538709684484
ds_gene	log_gene	comp991_c0	-8.99906695603115	-3.48000346199945	0.00406643732561418	0.0272069610356112
ds_gene	log_gene	comp998_c1	-28.8802731480078	-42.2715621916122	0.0041656591059309	0.0272069610356112
ds_gene	log_gene	comp584_c0	-6.85901299643478	2.41481430130849	0.00598858838395824	0.0378001475452749
ds_gene	log_gene	comp1040_c0	-28.9562746947303	-42.1195590981671	0.00614930629923133	0.0378001475452749
